,order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
194,195,81,627,3,119.97,39.99
195,196,81,1014,4,199.92,49.98
196,197,81,403,1,129.99,129.99
197,198,83,1073,1,199.99,199.99
198,199,84,1004,1,399.98,399.98
199,200,84,191,5,499.95,99.99
200,201,84,627,5,199.95,39.99
201,202,84,502,4,200.0,50.0
202,203,84,1073,1,199.99,199.99
203,204,87,627,3,119.97,39.99
204,205,88,403,1,129.99,129.99
205,206,88,1014,3,149.94,49.98
206,207,91,1004,1,399.98,399.98
207,208,91,365,5,299.95,59.99
208,209,92,1014,4,199.92,49.98
209,210,93,778,4,99.96,24.99
210,211,94,1004,1,399.98,399.98
211,212,94,627,4,159.96,39.99
212,213,94,403,1,129.99,129.99
213,214,94,1014,1,49.98,49.98
214,215,95,627,5,199.95,39.99
215,216,96,1014,2,99.96,49.98
216,217,96,957,1,299.98,299.98
217,218,96,403,1,129.99,129.99
218,219,97,886,5,124.95,24.99
219,220,98,403,1,129.99,129.99
220,221,98,502,2,100.0,50.0
221,222,99,191,5,499.95,99.99
222,223,99,502,4,200.0,50.0
223,224,99,1073,1,199.99,199.99
224,225,99,1073,1,199.99,199.99
225,226,100,403,1,129.99,129.99
226,227,100,365,2,119.98,59.99
227,228,100,191,3,299.97,99.99
228,229,101,191,1,99.99,99.99
229,230,101,957,1,299.98,299.98
230,231,101,1073,1,199.99,199.99
231,232,101,957,1,299.98,299.98
232,233,103,365,5,299.95,59.99
233,234,103,403,1,129.99,129.99
234,235,103,1004,1,399.98,399.98
235,236,104,403,1,129.99,129.99
236,237,104,957,1,299.98,299.98
237,238,104,365,2,119.98,59.99
238,239,105,403,1,129.99,129.99
239,240,105,365,3,179.97,59.99
240,241,105,365,2,119.98,59.99
241,242,106,191,1,99.99,99.99
242,243,107,565,4,280.0,70.0
243,244,107,502,5,250.0,50.0
244,245,107,403,1,129.99,129.99
245,246,107,627,2,79.98,39.99
246,247,107,957,1,299.98,299.98
247,248,110,278,1,44.99,44.99
248,249,110,365,4,239.96,59.99
249,250,110,1073,1,199.99,199.99
250,251,110,365,1,59.99,59.99
251,252,110,502,1,50.0,50.0
252,253,111,1014,5,249.9,49.98
253,254,112,1014,2,99.96,49.98
254,255,112,642,4,120.0,30.0
255,256,112,365,2,119.98,59.99
256,257,112,1004,1,399.98,399.98
257,258,112,365,4,239.96,59.99
258,259,113,627,3,119.97,39.99
259,260,113,1014,1,49.98,49.98
260,261,113,957,1,299.98,299.98
261,262,113,1014,3,149.94,49.98
262,263,114,365,4,239.96,59.99
263,264,115,957,1,299.98,299.98
264,265,115,957,1,299.98,299.98
265,266,116,957,1,299.98,299.98
266,267,116,135,3,66.0,22.0
267,268,116,1014,2,99.96,49.98
268,269,116,191,2,199.98,99.99
269,270,116,403,1,129.99,129.99
270,271,117,1004,1,399.98,399.98
271,272,117,135,3,66.0,22.0
272,273,117,365,2,119.98,59.99
273,274,117,1014,4,199.92,49.98
274,275,118,403,1,129.99,129.99
275,276,118,403,1,129.99,129.99
276,277,118,502,1,50.0,50.0
277,278,119,821,3,155.97,51.99
278,279,119,403,1,129.99,129.99
279,280,119,1014,4,199.92,49.98
280,281,120,1004,1,399.98,399.98
281,282,120,502,5,250.0,50.0
282,283,120,191,1,99.99,99.99
283,284,120,365,1,59.99,59.99
284,285,121,957,1,299.98,299.98
285,286,121,957,1,299.98,299.98
286,287,121,365,3,179.97,59.99
287,288,121,502,5,250.0,50.0
288,289,122,191,1,99.99,99.99
289,290,122,627,1,39.99,39.99
290,291,122,957,1,299.98,299.98
291,292,122,1004,1,399.98,399.98
292,293,122,1014,2,99.96,49.98
293,294,123,627,5,199.95,39.99
294,295,123,502,4,200.0,50.0
295,296,123,403,1,129.99,129.99
296,297,124,1004,1,399.98,399.98
297,298,127,403,1,129.99,129.99
298,299,127,1004,1,399.98,399.98
299,300,127,502,1,50.0,50.0
300,301,129,1014,5,249.9,49.98
301,302,130,365,3,179.97,59.99
302,303,130,502,3,150.0,50.0
303,304,130,1014,2,99.96,49.98
304,305,130,1073,1,199.99,199.99
305,306,131,1004,1,399.98,399.98
306,307,131,957,1,299.98,299.98
307,308,131,93,5,124.95,24.99
308,309,132,1014,1,49.98,49.98
309,310,132,278,3,134.97,44.99
310,311,132,502,5,250.0,50.0
311,312,132,365,3,179.97,59.99
312,313,133,502,2,100.0,50.0
313,314,133,365,4,239.96,59.99
314,315,133,365,5,299.95,59.99
315,316,134,365,1,59.99,59.99
316,317,135,627,1,39.99,39.99
317,318,135,365,2,119.98,59.99
318,319,135,502,1,50.0,50.0
319,320,136,957,1,299.98,299.98
320,321,137,365,5,299.95,59.99
321,322,137,365,5,299.95,59.99
322,323,139,502,1,50.0,50.0
323,324,139,1004,1,399.98,399.98
324,325,139,804,3,59.97,19.99
325,326,140,1073,1,199.99,199.99
326,327,140,957,1,299.98,299.98
327,328,140,1004,1,399.98,399.98
328,329,140,627,5,199.95,39.99
329,330,140,502,3,150.0,50.0
330,331,141,564,3,90.0,30.0
331,332,141,502,2,100.0,50.0
332,333,141,1014,2,99.96,49.98
333,334,142,403,1,129.99,129.99
334,335,143,191,2,199.98,99.99
335,336,143,365,4,239.96,59.99
336,337,143,957,1,299.98,299.98
337,338,143,1004,1,399.98,399.98
338,339,145,917,5,109.95,21.99
339,340,145,403,1,129.99,129.99
340,341,145,1014,1,49.98,49.98
341,342,146,502,3,150.0,50.0
342,343,146,403,1,129.99,129.99
343,344,146,957,1,299.98,299.98
344,345,146,1014,1,49.98,49.98
345,346,147,403,1,129.99,129.99
346,347,147,191,3,299.97,99.99
347,348,148,502,2,100.0,50.0
348,349,148,502,5,250.0,50.0
349,350,148,403,1,129.99,129.99
350,351,149,365,3,179.97,59.99
351,352,149,1014,5,249.9,49.98
352,353,150,403,1,129.99,129.99
353,354,151,502,2,100.0,50.0
354,355,151,835,3,95.97,31.99
355,356,151,403,1,129.99,129.99
356,357,152,792,2,29.98,14.99
357,358,152,1073,1,199.99,199.99
358,359,152,191,1,99.99,99.99
359,360,152,627,4,159.96,39.99
360,361,152,917,4,87.96,21.99
361,362,154,957,1,299.98,299.98
362,363,154,403,1,129.99,129.99
363,364,154,1014,5,249.9,49.98
364,365,154,365,2,119.98,59.99
365,366,155,365,2,119.98,59.99
366,367,156,1014,1,49.98,49.98
367,368,157,191,2,199.98,99.99
368,369,158,1004,1,399.98,399.98
369,370,159,1014,3,149.94,49.98
370,371,159,797,3,53.97,17.99
371,372,159,365,5,299.95,59.99
372,373,159,191,4,399.96,99.99
373,374,159,403,1,129.99,129.99
374,375,160,191,2,199.98,99.99
375,376,161,502,2,100.0,50.0
376,377,161,502,1,50.0,50.0
377,378,161,1004,1,399.98,399.98
378,379,161,1073,1,199.99,199.99
379,380,162,957,1,299.98,299.98
380,381,162,957,1,299.98,299.98
381,382,162,957,1,299.98,299.98
382,383,162,403,1,129.99,129.99
383,384,163,775,4,39.96,9.99
384,385,163,365,2,119.98,59.99
385,386,164,365,5,299.95,59.99
386,387,164,403,1,129.99,129.99
387,388,164,365,5,299.95,59.99
388,389,164,191,4,399.96,99.99
389,390,164,365,4,239.96,59.99
390,391,165,276,2,63.98,31.99
391,392,165,191,4,399.96,99.99
392,393,165,191,5,499.95,99.99
393,394,165,365,4,239.96,59.99
394,395,165,403,1,129.99,129.99
395,396,166,627,4,159.96,39.99
396,397,166,365,1,59.99,59.99
397,398,166,1073,1,199.99,199.99
398,399,166,1073,1,199.99,199.99
399,400,167,1073,1,199.99,199.99
400,401,167,365,2,119.98,59.99
401,402,167,1004,1,399.98,399.98
402,403,167,1073,1,199.99,199.99
403,404,168,191,4,399.96,99.99
404,405,168,957,1,299.98,299.98
405,406,170,1014,2,99.96,49.98
406,407,170,365,4,239.96,59.99
407,408,170,403,1,129.99,129.99
408,409,170,365,1,59.99,59.99
409,410,170,191,1,99.99,99.99
410,411,171,627,1,39.99,39.99
411,412,171,191,5,499.95,99.99
412,413,171,1004,1,399.98,399.98
413,414,171,365,5,299.95,59.99
414,415,172,191,3,299.97,99.99
415,416,172,1073,1,199.99,199.99
416,417,172,365,1,59.99,59.99
417,418,172,365,1,59.99,59.99
418,419,172,1073,1,199.99,199.99
419,420,173,235,4,139.96,34.99
420,421,174,365,1,59.99,59.99
421,422,174,1073,1,199.99,199.99
422,423,174,957,1,299.98,299.98
423,424,174,804,5,99.95,19.99
424,425,175,957,1,299.98,299.98
425,426,175,627,3,119.97,39.99
426,427,177,191,1,99.99,99.99
427,428,177,191,2,199.98,99.99
428,429,177,1004,1,399.98,399.98
429,430,177,1014,2,99.96,49.98
430,431,178,1014,1,49.98,49.98
431,432,178,1004,1,399.98,399.98
432,433,179,365,4,239.96,59.99
433,434,180,403,1,129.99,129.99
434,435,180,1014,2,99.96,49.98
435,436,180,191,2,199.98,99.99
436,437,180,1073,1,199.99,199.99
437,438,180,1004,1,399.98,399.98
438,439,181,905,3,74.97,24.99
439,440,181,957,1,299.98,299.98
440,441,181,502,2,100.0,50.0
441,442,181,627,1,39.99,39.99
442,443,182,1004,1,399.98,399.98
443,444,184,191,1,99.99,99.99
444,445,184,627,5,199.95,39.99
445,446,184,502,4,200.0,50.0
446,447,184,1014,3,149.94,49.98
447,448,184,134,2,50.0,25.0
448,449,185,1014,4,199.92,49.98
449,450,185,365,3,179.97,59.99
450,451,185,771,4,159.96,39.99
451,452,186,1004,1,399.98,399.98
452,453,186,957,1,299.98,299.98
453,454,188,1073,1,199.99,199.99
454,455,188,1004,1,399.98,399.98
455,456,188,1014,2,99.96,49.98
456,457,188,1004,1,399.98,399.98
457,458,188,502,4,200.0,50.0
458,459,189,403,1,129.99,129.99
459,460,189,365,5,299.95,59.99
460,461,189,191,3,299.97,99.99
461,462,190,957,1,299.98,299.98
462,463,190,1004,1,399.98,399.98
463,464,190,627,4,159.96,39.99
464,465,191,627,1,39.99,39.99
465,466,192,821,1,51.99,51.99
466,467,192,957,1,299.98,299.98
467,468,192,1004,1,399.98,399.98
468,469,192,1004,1,399.98,399.98
469,470,193,1073,1,199.99,199.99
470,471,193,502,3,150.0,50.0
471,472,193,191,4,399.96,99.99
472,473,193,1004,1,399.98,399.98
473,474,194,627,3,119.97,39.99
474,475,194,1004,1,399.98,399.98
475,476,194,1014,1,49.98,49.98
476,477,194,403,1,129.99,129.99
477,478,195,835,4,127.96,31.99
478,479,195,1014,5,249.9,49.98
479,480,195,1073,1,199.99,199.99
480,481,196,365,4,239.96,59.99
481,482,197,502,5,250.0,50.0
482,483,197,403,1,129.99,129.99
483,484,198,191,4,399.96,99.99
484,485,200,502,5,250.0,50.0
485,486,200,191,2,199.98,99.99
486,487,200,403,1,129.99,129.99
487,488,200,1014,5,249.9,49.98
488,489,200,403,1,129.99,129.99
489,490,201,1014,5,249.9,49.98
490,491,201,1014,4,199.92,49.98
491,492,202,135,3,66.0,22.0
492,493,202,403,1,129.99,129.99
493,494,204,365,3,179.97,59.99
494,495,204,627,5,199.95,39.99
495,496,204,365,1,59.99,59.99
496,497,205,365,1,59.99,59.99
497,498,205,1004,1,399.98,399.98
498,499,206,1073,1,199.99,199.99
499,500,206,1004,1,399.98,399.98
500,501,206,403,1,129.99,129.99
501,502,207,135,2,44.0,22.0
502,503,207,502,3,150.0,50.0
503,504,207,191,1,99.99,99.99
504,505,207,191,5,499.95,99.99
505,506,207,627,5,199.95,39.99
506,507,208,403,1,129.99,129.99
507,508,209,365,2,119.98,59.99
508,509,209,172,2,60.0,30.0
509,510,209,1004,1,399.98,399.98
510,511,209,957,1,299.98,299.98
511,512,209,365,1,59.99,59.99
512,513,211,172,1,30.0,30.0
513,514,211,822,5,239.95,47.99
514,515,211,191,1,99.99,99.99
515,516,212,627,4,159.96,39.99
516,517,213,957,1,299.98,299.98
517,518,213,365,5,299.95,59.99
518,519,213,502,2,100.0,50.0
519,520,214,627,4,159.96,39.99
520,521,214,1014,5,249.9,49.98
521,522,214,191,2,199.98,99.99
522,523,214,627,2,79.98,39.99
523,524,215,1073,1,199.99,199.99
524,525,216,627,3,119.97,39.99
525,526,216,957,1,299.98,299.98
526,527,216,957,1,299.98,299.98
527,528,216,778,3,74.97,24.99
528,529,219,502,5,250.0,50.0
529,530,219,1014,2,99.96,49.98
530,531,220,1004,1,399.98,399.98
531,532,220,1004,1,399.98,399.98
532,533,220,502,2,100.0,50.0
533,534,220,828,1,31.99,31.99
534,535,221,502,4,200.0,50.0
535,536,221,403,1,129.99,129.99
536,537,221,627,5,199.95,39.99
537,538,221,1004,1,399.98,399.98
538,539,221,403,1,129.99,129.99
539,540,222,191,4,399.96,99.99
540,541,222,365,2,119.98,59.99
541,542,223,365,5,299.95,59.99
542,543,223,191,1,99.99,99.99
543,544,223,365,1,59.99,59.99
544,545,223,627,3,119.97,39.99
545,546,223,1073,1,199.99,199.99
546,547,224,627,1,39.99,39.99
547,548,225,1073,1,199.99,199.99
548,549,225,1073,1,199.99,199.99
549,550,225,403,1,129.99,129.99
550,551,226,1004,1,399.98,399.98
551,552,226,403,1,129.99,129.99
552,553,226,365,4,239.96,59.99
553,554,226,502,3,150.0,50.0
554,555,227,191,4,399.96,99.99
555,556,227,828,3,95.97,31.99
556,557,228,365,2,119.98,59.99
557,558,228,1004,1,399.98,399.98
558,559,228,627,3,119.97,39.99
559,560,228,1014,2,99.96,49.98
560,561,228,977,2,59.98,29.99
561,562,229,1014,5,249.9,49.98
562,563,229,564,2,60.0,30.0
563,564,229,502,3,150.0,50.0
564,565,229,502,5,250.0,50.0
565,566,230,502,2,100.0,50.0
566,567,231,1014,1,49.98,49.98
567,568,231,403,1,129.99,129.99
568,569,231,627,2,79.98,39.99
569,570,231,957,1,299.98,299.98
570,571,232,365,2,119.98,59.99
571,572,232,835,1,31.99,31.99
572,573,232,1073,1,199.99,199.99
573,574,234,627,2,79.98,39.99
574,575,234,775,1,9.99,9.99
575,576,235,1004,1,399.98,399.98
576,577,236,1004,1,399.98,399.98
577,578,236,627,4,159.96,39.99
578,579,236,365,3,179.97,59.99
579,580,237,403,1,129.99,129.99
580,581,237,365,4,239.96,59.99
581,582,237,1073,1,199.99,199.99
582,583,237,502,1,50.0,50.0
583,584,237,365,3,179.97,59.99
584,585,238,365,4,239.96,59.99
585,586,238,403,1,129.99,129.99
586,587,238,823,2,103.98,51.99
587,588,238,365,4,239.96,59.99
588,589,239,957,1,299.98,299.98
589,590,239,627,2,79.98,39.99
590,591,239,1014,3,149.94,49.98
591,592,239,957,1,299.98,299.98
592,593,240,502,4,200.0,50.0
593,594,240,1014,5,249.9,49.98
594,595,240,365,3,179.97,59.99
595,596,240,1073,1,199.99,199.99
596,597,241,957,1,299.98,299.98
597,598,241,1004,1,399.98,399.98
598,599,241,627,1,39.99,39.99
599,600,242,1073,1,199.99,199.99
600,601,242,502,1,50.0,50.0
601,602,242,627,2,79.98,39.99
602,603,243,1004,1,399.98,399.98
603,604,243,775,3,29.97,9.99
604,605,243,957,1,299.98,299.98
605,606,243,1004,1,399.98,399.98
606,607,243,1014,1,49.98,49.98
607,608,244,403,1,129.99,129.99
608,609,244,1014,2,99.96,49.98
609,610,244,1004,1,399.98,399.98
610,611,244,1014,1,49.98,49.98
611,612,245,1004,1,399.98,399.98
612,613,246,403,1,129.99,129.99
613,614,246,957,1,299.98,299.98
614,615,246,1004,1,399.98,399.98
615,616,246,403,1,129.99,129.99
616,617,246,818,1,47.99,47.99
617,618,247,1004,1,399.98,399.98
618,619,247,502,4,200.0,50.0
619,620,247,957,1,299.98,299.98
620,621,247,1014,2,99.96,49.98
621,622,248,191,1,99.99,99.99
622,623,248,1014,4,199.92,49.98
623,624,249,1073,1,199.99,199.99
624,625,249,502,2,100.0,50.0
625,626,249,1004,1,399.98,399.98
626,627,249,502,4,200.0,50.0
627,628,250,365,4,239.96,59.99
628,629,250,365,4,239.96,59.99
629,630,251,403,1,129.99,129.99
630,631,252,1073,1,199.99,199.99
631,632,252,502,1,50.0,50.0
632,633,252,365,2,119.98,59.99
633,634,252,403,1,129.99,129.99
634,635,253,502,1,50.0,50.0
635,636,253,191,1,99.99,99.99
636,637,253,191,2,199.98,99.99
637,638,253,957,1,299.98,299.98
638,639,254,365,2,119.98,59.99
639,640,254,502,5,250.0,50.0
640,641,254,502,2,100.0,50.0
641,642,255,1014,4,199.92,49.98
642,643,255,191,4,399.96,99.99
643,644,255,1014,3,149.94,49.98
644,645,255,403,1,129.99,129.99
645,646,256,1014,1,49.98,49.98
646,647,256,957,1,299.98,299.98
647,648,256,365,1,59.99,59.99
648,649,256,627,3,119.97,39.99
649,650,256,365,1,59.99,59.99
650,651,257,191,2,199.98,99.99
651,652,257,502,3,150.0,50.0
652,653,257,627,4,159.96,39.99
653,654,259,502,1,50.0,50.0
654,655,259,365,4,239.96,59.99
655,656,259,365,2,119.98,59.99
656,657,260,191,2,199.98,99.99
657,658,260,502,5,250.0,50.0
658,659,262,403,1,129.99,129.99
659,660,262,134,2,50.0,25.0
660,661,262,1014,4,199.92,49.98
661,662,262,191,5,499.95,99.99
662,663,263,502,2,100.0,50.0
663,664,264,1004,1,399.98,399.98
664,665,264,365,5,299.95,59.99
665,666,264,1073,1,199.99,199.99
666,667,265,502,3,150.0,50.0
667,668,265,771,5,199.95,39.99
668,669,265,502,1,50.0,50.0
669,670,265,502,2,100.0,50.0
670,671,265,403,1,129.99,129.99
671,672,266,1073,1,199.99,199.99
672,673,267,191,3,299.97,99.99
673,674,268,365,1,59.99,59.99
674,675,268,365,3,179.97,59.99
675,676,269,502,3,150.0,50.0
676,677,271,1014,2,99.96,49.98
677,678,271,191,3,299.97,99.99
678,679,271,365,4,239.96,59.99
679,680,271,502,1,50.0,50.0
680,681,271,191,2,199.98,99.99
681,682,272,818,4,191.96,47.99
682,683,273,1073,1,199.99,199.99
683,684,273,957,1,299.98,299.98
684,685,273,403,1,129.99,129.99
685,686,274,957,1,299.98,299.98
686,687,274,191,1,99.99,99.99
687,688,274,365,1,59.99,59.99
688,689,275,365,4,239.96,59.99
689,690,275,365,5,299.95,59.99
690,691,275,172,3,90.0,30.0
691,692,275,1004,1,399.98,399.98
692,693,277,627,2,79.98,39.99
693,694,277,403,1,129.99,129.99
694,695,278,365,5,299.95,59.99
695,696,278,797,2,35.98,17.99
696,697,278,627,5,199.95,39.99
697,698,278,502,4,200.0,50.0
698,699,279,191,2,199.98,99.99
699,700,280,403,1,129.99,129.99
700,701,281,957,1,299.98,299.98
701,702,281,365,4,239.96,59.99
702,703,281,191,3,299.97,99.99
703,704,281,1014,3,149.94,49.98
704,705,282,365,5,299.95,59.99
705,706,283,627,3,119.97,39.99
706,707,283,1014,4,199.92,49.98
707,708,283,1014,1,49.98,49.98
708,709,283,1073,1,199.99,199.99
709,710,284,1004,1,399.98,399.98
710,711,284,191,3,299.97,99.99
711,712,284,1004,1,399.98,399.98
712,713,284,1014,1,49.98,49.98
713,714,284,1014,4,199.92,49.98
714,715,285,403,1,129.99,129.99
715,716,285,1073,1,199.99,199.99
716,717,286,403,1,129.99,129.99
717,718,286,365,1,59.99,59.99
718,719,286,1073,1,199.99,199.99
719,720,287,403,1,129.99,129.99
720,721,287,365,1,59.99,59.99
721,722,287,1004,1,399.98,399.98
722,723,287,957,1,299.98,299.98
723,724,287,627,5,199.95,39.99
724,725,288,191,1,99.99,99.99
725,726,289,191,3,299.97,99.99
726,727,289,191,4,399.96,99.99
727,728,289,1073,1,199.99,199.99
728,729,289,403,1,129.99,129.99
729,730,289,1073,1,199.99,199.99
730,731,290,627,5,199.95,39.99
731,732,290,917,3,65.97,21.99
732,733,292,1073,1,199.99,199.99
733,734,292,1073,1,199.99,199.99
734,735,292,1014,4,199.92,49.98
735,736,292,957,1,299.98,299.98
736,737,292,1004,1,399.98,399.98
737,738,293,627,4,159.96,39.99
738,739,293,403,1,129.99,129.99
739,740,293,403,1,129.99,129.99
740,741,294,1014,5,249.9,49.98
741,742,294,792,4,59.96,14.99
742,743,294,957,1,299.98,299.98
743,744,295,627,5,199.95,39.99
744,745,296,1014,1,49.98,49.98
745,746,296,116,2,89.98,44.99
746,747,297,1014,3,149.94,49.98
747,748,297,1073,1,199.99,199.99
748,749,297,134,1,25.0,25.0
749,750,297,365,5,299.95,59.99
750,751,299,627,1,39.99,39.99
751,752,300,116,1,44.99,44.99
752,753,300,957,1,299.98,299.98
753,754,300,1073,1,199.99,199.99
754,755,301,627,1,39.99,39.99
755,756,301,1004,1,399.98,399.98
756,757,302,1014,1,49.98,49.98
757,758,302,957,1,299.98,299.98
758,759,302,403,1,129.99,129.99
759,760,303,1073,1,199.99,199.99
